,codgeo,dep,libgeo,pop,evol_pop,evol_pop_pct,nb_menages,nb_homme,nb_femme,nb_etudiants,nb_entrep_services,nb_entrep_industrie,nb_entrep_commerce,nb_creation_entr,moyenne_sal_dep_horaire,nb_actifs,nb_actifs_sal,nb_educ_sante_action sociale,nb_pharmacie,typo_densite
54,68224,68,Mulhouse,110141,7359,6,45926,104138,109024,8297,2997.0,665.0,2582.0,545.0,11.419999999999998,42034.0,39110.0,797.0,0.0,Grands centres urbains
55,69123,69,Lyon,445274,19741,4,216157,398282,466560,55711,18849.0,4687.0,17203.0,3626.0,13.190384615384614,183490.0,165650.0,4454.0,35.0,Grands centres urbains
56,69259,69,Vénissieux,56014,6054,10,20686,53052,55182,4675,822.0,418.0,821.0,235.0,13.190384615384614,19657.0,18550.0,268.0,4.0,Grands centres urbains
57,69266,69,Villeurbanne,124152,8047,6,55136,114774,125988,14364,2946.0,1049.0,2939.0,803.0,13.190384615384614,48657.0,45053.0,759.0,1.0,Grands centres urbains
59,72181,72,Le Mans,146064,7094,4,66487,134100,150520,14356,3735.0,927.0,3054.0,595.0,10.858695652173909,56611.0,52509.0,1056.0,0.0,Grands centres urbains
60,73065,73,Chambéry,55762,2360,4,25254,50772,57946,7126,2140.0,572.0,1613.0,331.0,11.591428571428567,20290.0,18365.0,631.0,1.0,Grands centres urbains
61,74010,74,Annecy,50324,1880,3,24481,46082,51904,3927,2620.0,524.0,2223.0,420.0,11.40441176470588,20992.0,18823.0,842.0,1.0,Grands centres urbains
62,75056,75,Paris,2125851,91923,4,1110912,1938228,2204918,193636,159828.0,36275.0,156371.0,28917.0,17.8,991003.0,860152.0,24329.0,353.0,Grands centres urbains
63,76351,76,Le Havre,190924,10764,5,79863,175802,194778,18139,3236.0,1325.0,3098.0,557.0,11.73950617283951,63977.0,59973.0,982.0,2.0,Grands centres urbains
64,76540,76,Rouen,106560,5599,5,54133,96210,111396,14957,4062.0,1036.0,3919.0,669.0,11.73950617283951,40875.0,37237.0,1101.0,2.0,Grands centres urbains
65,78586,78,Sartrouville,50222,4076,8,18502,47172,49998,4114,671.0,328.0,749.0,188.0,17.057999999999996,21919.0,20383.0,210.0,0.0,Grands centres urbains
66,78646,78,Versailles,85761,5314,6,35837,79164,86880,8053,3417.0,714.0,2589.0,515.0,17.057999999999996,36791.0,33544.0,745.0,1.0,Grands centres urbains
67,79191,79,Niort,56661,1839,3,26607,51920,58718,4320,1734.0,415.0,1362.0,228.0,10.399999999999997,22833.0,20907.0,430.0,1.0,Centres urbains intermédiaires
